Title,Artist,Album,Year,Duration(minutes)
Rural Retreat,Front Porch Serenade,Country Getaway,2022,3.9
Golden Sunset,Western Whispers,Homestead Harmonies,2021,2.6
Barnside Brews,Rustic Melodies,Folk Fusion,2023,4.9
Moonlit Rodeo,Southern Strings,Nighttime Trails,2020,3.5
Country Intermezzo,Acoustic Trails,Pastoral Plucks,2022,2.2
Backroad Ballad,Heartfelt Harmonies,Country Roads,2021,3.7
Countryside Reverie,Harvest Hymns,Farmland Lullabies,2023,5.2
Laid-Back Barnyard,Easygoing Strums,Country Comforts,2020,2.9
Gentle Rain on Fields,Country Serenity,Nature's Embrace,2022,4.8
Homey Homestead,Cozy Corners,Down-Home Dreams,2021,6.1
