Title,Artist,Album,Year,Duration(minutes)
Rainy Day Vibes,Chill Beats,Cozy Tunes,2022,3.5
Sunset Chill,Smooth Grooves,Laid-Back Jams,2021,2.9
Coffee Shop Dreams,Mellow Melodies,Relaxing Beats,2023,4.2
Late Night Lofi,Dreamy Sounds,Nocturnal Grooves,2020,3.8
Jazzy Interlude,Beats & Keys,Instrumental Mixes,2022,2.5
City Stroll,Chillax Vibes,Urban Moods,2021,3.1
Dreamy Escape,Cloud Beats,Sleepy Serenades,2023,4.7
Laid-Back Lounge,Easy Listening,Chill Delights,2020,2.3
Soothing Rain,Tranquil Tunes,Nature Sounds,2022,5.0
Cozy Fireplace,Relaxing Ambience,Homey Vibes,2021,6.2
