Title,Artist,Album,Year,Duration(minutes)
Urban Raindrops,Street Beats,City Chronicles,2022,3.2
Sunset Groove,Smooth Flows,Street Stories,2021,2.1
Espresso Freestyle,Mic Drops,Flow Sessions,2023,3.9
Midnight Cypher,Nocturnal Bars,Urban Rhymes,2020,3.3
Jazzy Rap Break,Beat and Bars,Instrumental Bars,2022,2.0
Concrete Jungle,Metropolitan Rhymes,City Anthems,2021,2.8
Dreamscape Rhymes,Cloud Rap,After Hours Bars,2023,4.5
Laid-Back Cypher,Chill Verses,Relaxed Flows,2020,2.6
Soothing Street Sounds,Tranquil Beats,Urban Calm,2022,4.3
Cozy Studio,Relaxed Rhythms,Homegrown Lyrics,2021,5.7
