Title,Artist,Album,Year,Duration(minutes)
Electro Dreams,Neon Pulse,Digital Odyssey,2022,4.8
Synthetic Sunset,Synthwave Serenity,Neon Nights,2021,3.2
Cyber Café Chronicles,Pixel Beats,Virtual Realms,2023,5.5
Midnight Circuit,Robot Rhythms,Electric Echoes,2020,3.7
Techno Interlude,Analog Waves,Beatscape Odyssey,2022,2.8
Neon City Lights,Electric Dreamscape,Future Frequencies,2021,4.1
Virtual Escapade,Code Beats,Digital Daydreams,2023,6.3
Synth Lounge,Sonic Bliss,Chillwave Chronicles,2020,2.5
Digital Rain,Techno Tranquility,Binary Serenades,2022,5.8
Neon Hearth,Electronic Embrace,Pixelated Coziness,2021,7.1
